gene_symbol,score_layer,score_direction,score_early,score_serum,score_rescue,positive_score,leakage_mult,het_mult,audit_score_raw,audit_score,is_hk,is_plasma_hi,rescue_eligible
A1BG,0.25,0.375,0,0,0,0.125,1,0.3,0.0375,0.0503954935446762,FALSE,FALSE,FALSE
A1CF,0.5,0.25,0,0,0,0.15,1,0.3,0.045,0.0604745922536115,FALSE,FALSE,FALSE
A2ML1,0.75,0.75,0.974940854864494,0.3,0,0.524988170972899,1,0.7,0.367491719681029,0.493864708984194,FALSE,FALSE,FALSE
A4GNT,0,0.375,0,0,0,0.075,1,0.7,0.0525,0.0705536909625467,FALSE,FALSE,FALSE
AAAS,0.25,0.125,0,0,0,0.075,1,0.7,0.0525,0.0705536909625467,FALSE,FALSE,FALSE
AACS,0,0.125,0,0,0,0.025,1,0.3,0.0075,0.0100790987089352,FALSE,FALSE,FALSE
AADAC,0.5,0.875,0.983858717306242,0,0,0.471771743461248,1,0.3,0.141531523038375,0.190201358817296,FALSE,FALSE,FALSE
AAGAB,0.5,0.875,0.364866110051941,0,0,0.347973222010388,1,0.7,0.243581255407272,0.327343935586168,FALSE,FALSE,FALSE
AAK1,0.25,0.125,0.969529732362176,0,0,0.268905946472435,1,0.7,0.188234162530705,0.252964093938764,FALSE,FALSE,FALSE
AANAT,0.25,0.125,0.72208046077161,0,0,0.219416092154322,1,1,0.219416092154322,0.294868860153632,FALSE,FALSE,FALSE
AAR2,0,0.375,0,0,0,0.075,1,0.7,0.0525,0.0705536909625467,FALSE,FALSE,FALSE
AARS1,0.5,0.625,0.343122956048595,0,0,0.293624591209719,1,0.7,0.205537213846803,0.276217315562862,FALSE,FALSE,FALSE
AARS2,0.5,0.875,0.677394917239799,0,0,0.41047898344796,1,1,0.41047898344796,0.551634425615384,FALSE,FALSE,FALSE
AASDH,0,0.375,0,0,0,0.075,1,0.3,0.0225,0.0302372961268057,FALSE,FALSE,FALSE
AASS,0.5,0.875,0.779071701877548,0,0,0.43081434037551,1,0.7,0.301570038262857,0.405273891107828,FALSE,FALSE,FALSE
AATK,0.25,0.5,0.992956967573838,0,0,0.348591393514768,1,0.3,0.10457741805443,0.140539482572825,FALSE,FALSE,FALSE
ABAT,0.5,0.125,0,0,0,0.125,1,0.3,0.0375,0.0503954935446762,FALSE,FALSE,FALSE
ABCA1,0,0.5,0,0,0,0.1,1,1,0.1,0.134387982785803,FALSE,FALSE,FALSE
ABCA10,0.25,0.375,0.980492998619648,0,0,0.32109859972393,1,0.7,0.224769019806751,0.302062551645715,FALSE,FALSE,FALSE
ABCA12,0.25,0.125,0.992196614186832,0,0,0.273439322837366,1,1,0.273439322837366,0.367469590104297,FALSE,FALSE,FALSE
ABCA13,0.25,0.375,0.963797062737357,0,0,0.317759412547471,1,1,0.317759412547471,0.427030464634565,FALSE,FALSE,FALSE
ABCA2,0,0.375,0,0,0,0.075,1,0.3,0.0225,0.0302372961268057,FALSE,FALSE,FALSE
ABCA3,0,0.25,0,0,0,0.05,1,0.3,0.015,0.0201581974178705,FALSE,FALSE,FALSE
ABCA4,0,0.125,0,0,0,0.025,1,0.3,0.0075,0.0100790987089352,FALSE,FALSE,FALSE
