gene_symbol,audit_score_median,audit_score_lo95,audit_score_hi95,uncertainty_width,rank_median,rank_lo95,rank_hi95,confidence_class,is_hk,is_plasma_hi,leakage_mult,max_I2_meta,rna_pattern_rho,rna_cohort_agreement
A1BG,0.0491861520983169,0.0315941761130789,0.12352221649445,0.0919280403813708,7751,5359.55,8566.825,low,FALSE,FALSE,1,98.9368452714332,0.591855763833568,0.75
A1CF,0.0629678728043124,0.0474638657312852,0.16104991820959,0.113586052478305,7252.5,4734.85,7822.575,low,FALSE,FALSE,1,97.2433838326019,0.949435959369581,0.5
A2ML1,0.475258468641297,0.199449478341453,0.544386146262284,0.344936667920832,642,458.475,4157.2,high_uncertain,FALSE,FALSE,1,88.0588290095509,0.974940854864494,0.5
A4GNT,0.054897058853439,0.0145895775521823,0.0921219749510913,0.077532397398909,7524,6299.95,9595.4,low,FALSE,FALSE,1,85.396969868344,0.744554375202437,0.75
AAAS,0.0750854595983522,0.025947055164903,0.123613689987795,0.0976666348228921,6867,5348.475,8947.05,low,FALSE,FALSE,1,82.3279293494892,0.984578556548874,0.25
AACS,0.0156772135968196,0.00263349948617907,0.0574791382584623,0.0548456387722833,9538.5,7443.975,10019.525,low,FALSE,FALSE,1,95.094330871118,0.973640766369105,0.25
AADAC,0.192785855567091,0.172853304487419,0.462512357481296,0.289659052993877,4291.5,814.375,4589.925,low,FALSE,FALSE,1,96.5580538090813,0.983858717306242,0.75
AAGAB,0.323563007407992,0.131022431838055,0.472745302289328,0.341722870451273,2377,651.475,5093.525,low,FALSE,FALSE,1,80.9833923870501,0.940560088331239,0.75
AAK1,0.269798869076517,0.112748433132056,0.414059081847757,0.301310648715701,3267,1362.95,5695.35,low,FALSE,FALSE,1,75.5755655715937,0.969529732362176,0.25
AANAT,0.283565850950001,0.19078292455932,0.359652497806904,0.168869573247584,3034.5,1995.95,4279.1,low,FALSE,FALSE,1,67.9470359436311,0.98757226533243,0.25
AAR2,0.0684277773653877,0.0251662828985305,0.111572536265517,0.0864062533669863,7100.5,5738.8,9035.2,low,FALSE,FALSE,1,77.0569868270803,0.966859066482314,0.75
