boot_iter,top100_fold,top100_hits
1,27.5809090909091,3
2,36.7745454545455,4
3,42.1375,5
4,16.855,2
5,26.968,4
6,45.9681818181818,5
7,40.452,4
8,11.2366666666667,1
9,31.1169230769231,4
10,36.7745454545455,4
11,31.1169230769231,4
12,28.8942857142857,4
13,33.71,4
14,33.71,4
15,38.8961538461538,5
16,33.71,4
17,45.9681818181818,5
18,28.8942857142857,4
19,16.855,2
20,36.7745454545455,4
21,36.7745454545455,4
22,23.3376923076923,3
23,18.3872727272727,2
24,23.3376923076923,3
25,33.71,4
26,36.7745454545455,4
27,18.3872727272727,2
28,27.5809090909091,3
29,25.2825,3
30,36.7745454545455,4
31,33.71,4
32,33.71,4
33,18.3872727272727,2
34,11.2366666666667,1
35,36.7745454545455,4
36,27.5809090909091,3
37,38.8961538461538,5
38,36.7745454545455,4
39,38.8961538461538,5
40,36.1178571428571,5
41,36.1178571428571,5
42,36.7745454545455,4
43,15.5584615384615,2
44,45.9681818181818,5
45,23.3376923076923,3
46,30.339,3
47,36.7745454545455,4
48,30.339,3
49,27.5809090909091,3
50,36.1178571428571,5
51,44.9466666666667,4
52,16.855,2
53,27.5809090909091,3
54,31.1169230769231,4
55,20.226,2
56,15.5584615384615,2
57,44.9466666666667,4
58,30.339,3
59,9.19363636363636,1
60,38.8961538461538,5
61,36.7745454545455,4
62,7.77923076923077,1
63,20.226,2
64,33.71,4
65,11.2366666666667,1
66,20.226,2
67,25.2825,3
68,27.5809090909091,3
69,31.1169230769231,4
70,36.7745454545455,4
71,31.1169230769231,4
72,30.339,3
73,33.71,4
74,31.1169230769231,4
75,11.2366666666667,1
76,31.1169230769231,4
77,31.1169230769231,4
78,20.226,2
79,11.2366666666667,1
80,22.4733333333333,2
81,25.2825,3
82,33.71,3
83,31.1169230769231,4
84,45.9681818181818,5
85,9.19363636363636,1
86,25.2825,3
87,18.3872727272727,2
88,30.339,3
89,33.71,4
90,20.226,2
91,33.71,4
92,33.71,4
93,27.5809090909091,3
94,30.339,3
95,14.4471428571429,2
96,10.113,1
97,33.71,4
98,23.3376923076923,3
99,33.71,3
100,33.71,4
101,27.5809090909091,3
102,31.1169230769231,4
103,27.5809090909091,3
104,15.5584615384615,2
105,31.1169230769231,4
106,16.855,2
107,20.226,2
108,22.4733333333333,2
109,36.1178571428571,5
110,36.7745454545455,4
111,7.77923076923077,1
112,21.6707142857143,3
113,25.2825,3
114,31.1169230769231,4
115,28.8942857142857,4
116,27.5809090909091,3
117,27.5809090909091,3
118,27.5809090909091,3
119,33.71,4
120,44.9466666666667,4
121,20.226,3
122,27.5809090909091,3
123,18.3872727272727,2
124,8.4275,1
125,25.2825,3
126,27.5809090909091,3
127,25.2825,3
128,33.71,4
129,20.226,2
130,21.6707142857143,3
