boot_iter,n_unique_anchors,hits,fold
1,11,4,36.7745454545455
2,11,6,55.1618181818182
3,12,7,58.9925
4,12,4,33.71
5,15,5,33.71
6,11,5,45.9681818181818
7,10,4,40.452
8,9,2,22.4733333333333
9,13,6,46.6753846153846
10,11,5,45.9681818181818
11,13,4,31.1169230769231
12,14,5,36.1178571428571
13,12,4,33.71
14,12,5,42.1375
15,13,5,38.8961538461538
16,12,4,33.71
17,11,7,64.3554545454546
18,14,5,36.1178571428571
19,12,4,33.71
20,11,5,45.9681818181818
21,11,6,55.1618181818182
22,13,5,38.8961538461538
23,11,4,36.7745454545455
24,13,5,38.8961538461538
25,12,6,50.565
26,11,6,55.1618181818182
27,11,4,36.7745454545455
28,11,4,36.7745454545455
29,12,5,42.1375
30,11,5,45.9681818181818
31,12,5,42.1375
32,12,5,42.1375
33,11,3,27.5809090909091
34,9,3,33.71
35,11,6,55.1618181818182
36,11,4,36.7745454545455
37,13,7,54.4546153846154
38,11,6,55.1618181818182
39,13,7,54.4546153846154
40,14,6,43.3414285714286
41,14,6,43.3414285714286
42,11,5,45.9681818181818
43,13,3,23.3376923076923
44,11,7,64.3554545454546
45,13,5,38.8961538461538
46,10,5,50.565
47,11,6,55.1618181818182
48,10,5,50.565
49,11,3,27.5809090909091
50,14,6,43.3414285714286
51,9,5,56.1833333333333
52,12,3,25.2825
53,11,4,36.7745454545455
54,13,5,38.8961538461538
55,10,3,30.339
56,13,4,31.1169230769231
57,9,5,56.1833333333333
58,10,4,40.452
59,11,2,18.3872727272727
60,13,6,46.6753846153846
61,11,5,45.9681818181818
62,13,3,23.3376923076923
63,10,2,20.226
64,12,5,42.1375
65,9,2,22.4733333333333
66,10,3,30.339
67,12,5,42.1375
68,11,5,45.9681818181818
69,13,6,46.6753846153846
70,11,5,45.9681818181818
71,13,6,46.6753846153846
72,10,4,40.452
73,12,6,50.565
74,13,5,38.8961538461538
75,9,2,22.4733333333333
76,13,6,46.6753846153846
77,13,5,38.8961538461538
78,10,4,40.452
79,9,2,22.4733333333333
80,9,3,33.71
81,12,5,42.1375
82,9,4,44.9466666666667
83,13,6,46.6753846153846
84,11,7,64.3554545454546
85,11,1,9.19363636363636
86,12,5,42.1375
87,11,3,27.5809090909091
88,10,5,50.565
89,12,6,50.565
90,10,3,30.339
91,12,6,50.565
92,12,6,50.565
93,11,4,36.7745454545455
94,10,3,30.339
95,14,4,28.8942857142857
96,10,3,30.339
97,12,4,33.71
98,13,5,38.8961538461538
99,9,4,44.9466666666667
100,12,4,33.71
101,11,5,45.9681818181818
102,13,6,46.6753846153846
103,11,5,45.9681818181818
104,13,3,23.3376923076923
105,13,5,38.8961538461538
106,12,3,25.2825
107,10,3,30.339
108,9,2,22.4733333333333
109,14,6,43.3414285714286
110,11,5,45.9681818181818
111,13,3,23.3376923076923
112,14,4,28.8942857142857
113,12,5,42.1375
114,13,5,38.8961538461538
115,14,6,43.3414285714286
116,11,4,36.7745454545455
117,11,5,45.9681818181818
118,11,4,36.7745454545455
119,12,5,42.1375
120,9,4,44.9466666666667
121,15,5,33.71
122,11,5,45.9681818181818
123,11,4,36.7745454545455
124,12,3,25.2825
125,12,4,33.71
126,11,5,45.9681818181818
127,12,4,33.71
128,12,6,50.565
129,10,3,30.339
