ablation,hits,fold,pval,jaccard,spearman,hk_top500,plasma_top500,gapdh,alb,ltbp1,ltbp1_rank,fold_drop
FULL_RULE,5,28.1,6.61391512054152e-07,1,1,0,0,0,0.264,0.573,323,0
no_layer_presence,2,11.2,0.0133603109845893,0.49,0.983,0,0,0,0.27,0.526,550,16.9
no_direction_agree,6,33.7,1.35509738241396e-08,0.61,0.94,0,0,0,0.258,0.564,119,-5.6
no_early_pattern,6,33.7,1.35509738241396e-08,0.56,0.908,0,0,0,0.174,0.633,14,-5.6
no_serum_bridge,4,22.5,2.47626020116827e-05,0.77,1,0,0,0,0.305,0.586,461,5.6
no_rescue_signal,4,22.5,2.47626020116827e-05,0.9,1,0,0,0,0.305,0.553,590,5.6
no_leakage_gate,5,28.1,6.61391512054152e-07,0.96,0.988,9,3,0.188,0.529,0.573,330,0
no_heterogeneity_gate,5,28.1,6.61391512054152e-07,0.19,0.885,0,0,0,0.263,0.814,33,0
no_both_gates,5,28.1,6.61391512054152e-07,0.18,0.871,14,2,0.187,0.526,0.814,34,0
only_positives_eq,5,28.1,6.61391512054152e-07,1,1,0,0,0,0.264,0.573,323,0
weights_uniform,6,33.7,1.35509738241396e-08,0.59,1,0,0,0,0.208,0.577,45,-5.6
