scenario,fold100,pval100,neg_top100,v02fp_top1k,ltbp1_rank,gapdh_score,jaccard100,spearman
OFAT_layer_-50%,21.6707142857143,0.000315516010147151,0,0,393,0,0.70940170940171,0.99667051876324
OFAT_layer_+50%,28.8942857142857,8.35064971012568e-06,0,1,275,0,0.869158878504673,0.998157043670211
OFAT_dir_-50%,28.8942857142857,8.35064971012568e-06,0,0,249,0,0.739130434782609,0.993880046079381
OFAT_dir_+50%,21.6707142857143,0.000315516010147151,0,0,405,0,0.680672268907563,0.995647864305463
OFAT_early_-50%,28.8942857142857,8.35064971012568e-06,0,1,124,0,0.923076923076923,0.991395469640814
OFAT_early_+50%,21.6707142857143,0.000315516010147151,0,0,453,0,0.941747572815534,0.997089087205206
OFAT_serum_-50%,28.8942857142857,8.35064971012568e-06,0,0,396,0,0.801801801801802,0.999966426645493
OFAT_serum_+50%,28.8942857142857,8.35064971012568e-06,0,1,248,0,0.96078431372549,0.999980654672539
OFAT_rescue_-50%,21.6707142857143,0.000315516010147151,0,0,432,0,0.941747572815534,0.999989486157592
OFAT_rescue_+50%,28.8942857142857,8.35064971012568e-06,0,0,232,0,0.98019801980198,0.999989339965594
RAND_0001,28.8942857142857,8.35064971012568e-06,0,1,221,0,0.98019801980198,0.993365252569631
RAND_0002,28.8942857142857,8.35064971012568e-06,0,1,135,0,0.724137931034483,0.991490186149908
RAND_0003,14.4471428571429,0.00815293421191023,0,0,518,0,0.724137931034483,0.998548149195868
RAND_0004,28.8942857142857,8.35064971012568e-06,0,1,231,0,0.801801801801802,0.988122445411976
RAND_0005,21.6707142857143,0.000315516010147151,0,0,419,0,0.70940170940171,0.992050569937931
RAND_0006,28.8942857142857,8.35064971012568e-06,0,0,377,0,0.941747572815534,0.996757051057089
RAND_0007,21.6707142857143,0.000315516010147151,0,0,391,0,0.801801801801802,0.997069286525756
RAND_0008,28.8942857142857,8.35064971012568e-06,0,1,44,0,0.739130434782609,0.992699092681072
RAND_0009,28.8942857142857,8.35064971012568e-06,0,1,78,0,0.769911504424779,0.994118485212221
RAND_0010,28.8942857142857,8.35064971012568e-06,0,1,307,0,0.941747572815534,0.999039330614019
RAND_0011,21.6707142857143,0.000315516010147151,0,1,360,0,0.96078431372549,0.999730149502265
RAND_0012,28.8942857142857,8.35064971012568e-06,0,0,243,0,0.851851851851852,0.994030936525313
RAND_0013,28.8942857142857,8.35064971012568e-06,0,0,376,0,0.724137931034483,0.998950732477561
RAND_0014,21.6707142857143,0.000315516010147151,0,0,542,0,0.834862385321101,0.994764468907596
RAND_0015,28.8942857142857,8.35064971012568e-06,0,0,305,0,0.769911504424779,0.999247374499939
RAND_0016,28.8942857142857,8.35064971012568e-06,0,1,297,0,0.739130434782609,0.994196822382145
RAND_0017,28.8942857142857,8.35064971012568e-06,0,1,93,0,0.739130434782609,0.997532275948702
RAND_0018,28.8942857142857,8.35064971012568e-06,0,1,219,0,0.923076923076923,0.997294266563893
RAND_0019,28.8942857142857,8.35064971012568e-06,0,1,29,0,0.724137931034483,0.994531576722653
RAND_0020,28.8942857142857,8.35064971012568e-06,0,1,222,0,0.904761904761905,0.99848214776263
RAND_0021,28.8942857142857,8.35064971012568e-06,0,1,71,0,0.739130434782609,0.997675084154426
RAND_0022,21.6707142857143,0.000315516010147151,0,0,455,0,0.923076923076923,0.999452732579305
RAND_0023,21.6707142857143,0.000315516010147151,0,0,424,0,0.724137931034483,0.999375528210307
RAND_0024,28.8942857142857,8.35064971012568e-06,0,1,85,0,0.739130434782609,0.994955043279559
RAND_0025,28.8942857142857,8.35064971012568e-06,0,0,305,0,0.904761904761905,0.999213617378287
RAND_0026,14.4471428571429,0.00815293421191023,0,0,478,0,0.680672268907563,0.99832868654288
RAND_0027,28.8942857142857,8.35064971012568e-06,0,1,224,0,0.923076923076923,0.999329003950552
RAND_0028,28.8942857142857,8.35064971012568e-06,0,1,136,0,0.724137931034483,0.989164870216839
RAND_0029,28.8942857142857,8.35064971012568e-06,0,0,150,0,0.70940170940171,0.996166708131815
RAND_0030,21.6707142857143,0.000315516010147151,0,0,498,0,0.801801801801802,0.99305451387924
RAND_0031,28.8942857142857,8.35064971012568e-06,0,0,362,0,0.904761904761905,0.997010651026612
RAND_0032,28.8942857142857,8.35064971012568e-06,0,1,79,0,0.666666666666667,0.994368741874457
RAND_0033,28.8942857142857,8.35064971012568e-06,0,0,361,0,0.904761904761905,0.998796082815777
RAND_0034,21.6707142857143,0.000315516010147151,0,0,440,0,0.680672268907563,0.998835703149527
RAND_0035,28.8942857142857,8.35064971012568e-06,0,1,285,0,0.923076923076923,0.998869352042087
RAND_0036,28.8942857142857,8.35064971012568e-06,0,0,331,0,0.70940170940171,0.994630460146136
RAND_0037,28.8942857142857,8.35064971012568e-06,0,0,247,0,0.851851851851852,0.994974964072749
RAND_0038,21.6707142857143,0.000315516010147151,0,0,508,0,0.754385964912281,0.999486558297515
RAND_0039,21.6707142857143,0.000315516010147151,0,0,468,0,0.666666666666667,0.987065011781342
RAND_0040,28.8942857142857,8.35064971012568e-06,0,1,114,0,0.70940170940171,0.992012611790826
RAND_0041,21.6707142857143,0.000315516010147151,0,0,451,0,0.941747572815534,0.9981833340422
RAND_0042,21.6707142857143,0.000315516010147151,0,0,472,0,0.680672268907563,0.995305264036767
RAND_0043,28.8942857142857,8.35064971012568e-06,0,0,370,0,0.769911504424779,0.997928261225998
RAND_0044,28.8942857142857,8.35064971012568e-06,0,1,135,0,0.923076923076923,0.998272930944069
RAND_0045,28.8942857142857,8.35064971012568e-06,0,1,278,0,0.754385964912281,0.997017569005102
RAND_0046,28.8942857142857,8.35064971012568e-06,0,0,241,0,0.769911504424779,0.996665030319254
RAND_0047,28.8942857142857,8.35064971012568e-06,0,0,136,0,0.785714285714286,0.998960434519716
RAND_0048,28.8942857142857,8.35064971012568e-06,0,0,380,0,0.739130434782609,0.992054815959196
