rank,gene,audit_score,audit_class,audit_score_median,score_95ci,confidence_class,anchor_tier,v0.2_tier,pdactrace_call,rna_pattern,prot_pattern,scrna_support_celltypes,serum_support,dominant_evidence_axis,mechanism_class,artifact_flags,note
1,LGALS3BP,1,high_confidence,1,"[1.00, 1.00]",stable_high,none,ARTIFACT,rescued_candidate,Early_Burst_Up,Early_Burst_Up,Ductal,A,RNA+Protein+ductal+serum-detected+secreted,ductal_epithelial,none,""
2,LCN2,0.924,high_confidence,0.837,"[0.78, 0.91]",stable_high,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,B,RNA+Protein+ductal+serum-detected+secreted,ductal_epithelial,none,""
3,GGH,0.888,high_confidence,0.833,"[0.57, 0.92]",stable_high,none,ARTIFACT,rescued_candidate,Early_Burst_Up,Early_Burst_Up,none,B,RNA+Protein+serum-detected+secreted,unclear,none,""
4,SPARC,0.806,high_confidence,0.792,"[0.53, 0.87]",stable_high,none,OTHER,rescued_candidate,Early_Burst_Up,Early_Burst_Up,myCAF,B,RNA+Protein+stromal+serum-detected+secreted,ECM_stromal,none,""
5,VCAN,0.797,high_confidence,0.803,"[0.55, 0.90]",stable_high,none,ARTIFACT,rescued_candidate,Early_Burst_Up,Early_Burst_Up,myCAF,not_detected,RNA+Protein+stromal+secreted,ECM_stromal,single_cohort_RNA_signal;serum_not_detected,""
6,PPIF,0.783,high_confidence,0.85,"[0.79, 0.91]",stable_high,none,ARTIFACT,rescued_candidate,Early_Loss_Down,Early_Loss_Down,Macrophage,not_detected,RNA+Protein,immune_inflammatory,serum_not_detected,""
7,KLK7,0.762,high_confidence,0.761,"[0.53, 0.82]",stable_high,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal+secreted,ductal_epithelial,serum_not_detected,""
8,CD55,0.761,high_confidence,0.76,"[0.52, 0.81]",stable_high,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,B_cell,not_detected,RNA+Protein+secreted,immune_inflammatory,serum_not_detected,""
9,DSG3,0.76,high_confidence,0.762,"[0.70, 0.81]",stable_high,none,GOLD,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal+secreted,ductal_epithelial,serum_not_detected,""
10,KLK10,0.739,high_confidence,0.743,"[0.69, 0.80]",stable_high,none,GOLD,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal+secreted,ductal_epithelial,serum_not_detected,""
11,CST1,0.739,high_confidence,0.739,"[0.68, 0.80]",stable_high,none,GOLD,novel_nomination,Early_Burst_Up,Early_Burst_Up,myCAF,not_detected,RNA+Protein+stromal+secreted,ECM_stromal,serum_not_detected,""
12,SLPI,0.739,high_confidence,0.742,"[0.68, 0.80]",stable_high,none,GOLD,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal+secreted,ductal_epithelial,serum_not_detected,""
13,PLAU,0.738,high_confidence,0.742,"[0.68, 0.80]",stable_high,none,GOLD,novel_nomination,Early_Burst_Up,Early_Burst_Up,myCAF,not_detected,RNA+Protein+stromal+secreted,ECM_stromal,serum_not_detected,""
14,ITGB6,0.738,high_confidence,0.738,"[0.52, 0.80]",stable_high,none,SILVER,novel_nomination,Early_Burst_Up,Early_Burst_Up,Ductal,not_detected,RNA+Protein+ductal+secreted,ductal_epithelial,serum_not_detected,""
